ID,MEDICINE,SIZE,COST,SIG,TYPE,percentage
9240,AZELAIC ACID 15%/ALOE 0.1% ,30ML,$35,AAA QD,SOLUTION,
7806,AZELAIC ACID 15%/ALOE 0.1% ,30GM,$35,AAA QD,CREAM,
7761,AZELAIC ACID 15%/NIACINAMIDE 2%  TOP MOVER,30GM,$35,AAA QD,TOP MOVER,
6927,AZELAIC ACID 15%/CLINDAMYCIN 1%/NIACINAMIDE 2% ,30GM,$35,AAA QD,GEL,
8313,AZELAIC ACID 20%/ALOE 0.1% ,30GM,$35,AAA QD,CREAM,
7387,AZELAIC ACID 20%/NIACINAMIDE 2% ,30GM,$35,AAA QD,GEL,
7866,AZELAIC ACID 5%/CLINDAMYCIN 2% CREAM  ,30GM,$35,AAA QD,TOP MOVER,
7488,AZELAIC ACID 8%/NIACINAMIDE 2%/TRETINOIN 0.1% ,30GM,$35,AAA QD,CREAM,
8769,CLINDAMYCIN 1%/HYDROCORTISONE 750MG 2.5% ,30ML,$35,AAA QD,LOTION,
7367,CLINDAMYCIN 1%/TRETINOIN 0.03% CREAM  ,30GM,$35,AAA QD,TOP MOVER,
8279,CLINDAMYCIN 1%/TRETINOIN 0.025%/ALO 0.1% TOPICAL ,30GM,$35,AAA QD,GEL,
9836,CLINDAMYCIN 1%/BENZOYL PEROXIDE 5%/ALOE 0.1% ,30GM,$35,AAA QD,GEL,
7440,IVERMECTIN 1%/OXYMETAZOLINE 1%/NIACINAMIDE 4% CREAM,30GM,$35,AAA QD,TOP MOVER,
5153,MINOCYCLINE 3%,30ML,$35,AAA QD,FOAM,
8098,SPIRONOLACTONE 5% CREAM,30GM,$35,AAA BID,TOP MOVER,
7082,SPIRONOLACTONE 5% ,30ML,$35,AAA BID,FOAM,
7118,SULFACETAMIDE 10%/SULFUR 5% NEW,60ML,$35,AAA QD,CLEANSER,
8582,SULFACETAMIDE SULFUR 10%/ASCORB 5%1.67% TOPICAL,30GM,$35,AAA QD,CREAM,
9694,TRETINOIN 0.025% ALOE 0.1% ,30GM,$35,AAA QD HS,CREAM,
9761,TRETINOIN 0.05% ASCORBIC ACID 1.67% ,30GM,$35,AAA QD HS,CREAM,
7877,TRETINOIN 0.05%/ERYTHROMY 3% ,30GM,$35,AAA QD HS,CREAM,
9379,TRETINOIN 0.1% ASCORBIC ACID 1.67% ,30GM,$35,AAA QD HS,CREAM,
